zip_code,city,region
68002,Arlington,Eastern Nebraska
68003,Ashland,Eastern Nebraska
68004,Bancroft,Eastern Nebraska
68005,Bellevue,Sarpy County
68007,Bennington,Eastern Nebraska
68008,Blair,Eastern Nebraska
68014,Bruno,Eastern Nebraska
68015,Cedar Bluffs,Eastern Nebraska
68017,Ceresco,Eastern Nebraska
68018,Colon,Eastern Nebraska
68019,Craig,Eastern Nebraska
68020,Decatur,Eastern Nebraska
68022,Elkhorn,Eastern Nebraska
68023,Fort Calhoun,Eastern Nebraska
68025,Fremont,Eastern Nebraska
68028,Gretna,Eastern Nebraska
68029,Herman,Eastern Nebraska
68030,Homer,Eastern Nebraska
68031,Hooper,Eastern Nebraska
68033,Ithaca,Eastern Nebraska
68034,Kennard,Eastern Nebraska
68037,Louisville,Eastern Nebraska
68038,Lyons,Eastern Nebraska
68039,Macy,Eastern Nebraska
68040,Malmo,Eastern Nebraska
68041,Mead,Eastern Nebraska
68044,Nickerson,Eastern Nebraska
68045,Oakland,Eastern Nebraska
68046,Papillion,Sarpy County
68047,Pender,Eastern Nebraska
68048,Plattsmouth,Eastern Nebraska
68050,Prague,Eastern Nebraska
68055,Rosalie,Eastern Nebraska
68057,Scribner,Eastern Nebraska
68059,Springfield,Eastern Nebraska
68061,Tekamah,Eastern Nebraska
68062,Thurston,Eastern Nebraska
68064,Valley,Eastern Nebraska
68065,Valparaiso,Eastern Nebraska
68066,Wahoo,Eastern Nebraska
68067,Walthill,Eastern Nebraska
68069,Waterloo,Eastern Nebraska
68070,Weston,Eastern Nebraska
68071,Winnebago,Eastern Nebraska
68073,Yutan,Eastern Nebraska
68123,Bellevue,Sarpy County
68128,La Vista,Sarpy County
68133,Papillion,Sarpy County
68301,Adams,Southeast Nebraska
68303,Alexandria,Southeast Nebraska
68305,Auburn,Southeast Nebraska
68307,Avoca,Southeast Nebraska
68310,Beatrice,Southeast Nebraska
68313,Beaver Crossing,Southeast Nebraska
68314,Bee,Southeast Nebraska
68316,Benedict,Southeast Nebraska
68317,Bennet,Southeast Nebraska
68318,Blue Springs,Southeast Nebraska
68319,Bradshaw,Southeast Nebraska
68321,Brownville,Southeast Nebraska
68322,Bruning,Southeast Nebraska
68323,Burchard,Southeast Nebraska
68325,Byron,Southeast Nebraska
68326,Carleton,Southeast Nebraska
68327,Chester,Southeast Nebraska
68328,Clatonia,Southeast Nebraska
68329,Cook,Southeast Nebraska
68331,Cortland,Southeast Nebraska
68332,Crab Orchard,Southeast Nebraska
68333,Crete,Southeast Nebraska
68335,Davenport,Southeast Nebraska
68336,Davey,Southeast Nebraska
68337,Dawson,Southeast Nebraska
68338,Daykin,Southeast Nebraska
68339,Denton,Southeast Nebraska
68340,Deshler,Southeast Nebraska
68341,De Witt,Southeast Nebraska
68342,Diller,Southeast Nebraska
68343,Dorchester,Southeast Nebraska
68344,Douglas,Southeast Nebraska
68345,Du Bois,Southeast Nebraska
68346,Dunbar,Southeast Nebraska
68347,Eagle,Southeast Nebraska
68348,Elk Creek,Southeast Nebraska
68349,Elmwood,Southeast Nebraska
68350,Endicott,Southeast Nebraska
68351,Exeter,Southeast Nebraska
68352,Fairbury,Southeast Nebraska
68354,Fairmont,Southeast Nebraska
68355,Falls City,Southeast Nebraska
68357,Filley,Southeast Nebraska
68358,Firth,Southeast Nebraska
68359,Friend,Southeast Nebraska
68360,Garland,Southeast Nebraska
68361,Geneva,Southeast Nebraska
68365,Grafton,Southeast Nebraska
68366,Greenwood,Southeast Nebraska
68367,Gresham,Southeast Nebraska
68368,Hallam,Southeast Nebraska
68370,Hebron,Southeast Nebraska
68371,Henderson,Southeast Nebraska
68372,Hickman,Southeast Nebraska
68376,Humboldt,Southeast Nebraska
68377,Jansen,Southeast Nebraska
68378,Johnson,Southeast Nebraska
68379,Julian,Southeast Nebraska
68382,Lorton,Southeast Nebraska
68401,Mc Cool Junction,South Central Nebraska
68402,Malcolm,South Central Nebraska
68404,Martell,South Central Nebraska
68405,Milford,South Central Nebraska
68406,Milligan,South Central Nebraska
68407,Murdock,South Central Nebraska
68409,Murray,South Central Nebraska
68410,Nebraska City,South Central Nebraska
68413,Nehawka,South Central Nebraska
68414,Nemaha,South Central Nebraska
68415,Odell,South Central Nebraska
68416,Ohiowa,South Central Nebraska
68417,Otoe,South Central Nebraska
68418,Palmyra,South Central Nebraska
68420,Pawnee City,South Central Nebraska
68421,Peru,South Central Nebraska
68422,Pickrell,South Central Nebraska
68423,Pleasant Dale,South Central Nebraska
68424,Plymouth,South Central Nebraska
68428,Raymond,South Central Nebraska
68430,Roca,South Central Nebraska
68431,Rulo,South Central Nebraska
68434,Seward,South Central Nebraska
68436,Shickley,South Central Nebraska
68437,Shubert,South Central Nebraska
68439,Staplehurst,South Central Nebraska
68442,Stella,South Central Nebraska
68443,Sterling,South Central Nebraska
68445,Swanton,South Central Nebraska
68446,Syracuse,South Central Nebraska
68447,Table Rock,South Central Nebraska
68448,Talmage,South Central Nebraska
68450,Tecumseh,South Central Nebraska
68453,Tobias,South Central Nebraska
68454,Unadilla,South Central Nebraska
68455,Union,South Central Nebraska
68456,Utica,South Central Nebraska
68457,Verdon,South Central Nebraska
68460,Waco,South Central Nebraska
68461,Walton,South Central Nebraska
68462,Waverly,South Central Nebraska
68463,Weeping Water,South Central Nebraska
68464,Western,South Central Nebraska
68465,Wilber,South Central Nebraska
68466,Wymore,South Central Nebraska
68467,York,South Central Nebraska
68601,Columbus,Central Nebraska
68620,Albion,Central Nebraska
68622,Bartlett,Central Nebraska
68624,Bellwood,Central Nebraska
68626,Brainard,Central Nebraska
